Neighborhood,Latitude,Longitude,Venue,Venue Category
Tottenville,40.50533376115642,-74.24656934235283,Bloomingdale Park,Park
Tottenville,40.50533376115642,-74.24656934235283,Old Bridge Waterfront Park at Paul's Beach,Beach
Tottenville,40.50533376115642,-74.24656934235283,El Boy Restaurant,Spanish Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Mario's Famous Pizzaria,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Luigi's Pizza,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Target,Big Box Store
Tottenville,40.50533376115642,-74.24656934235283,Mara's Restaurant & Bar,Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Café Mama Lena's,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Lemon Creek Fishing Pier,Beach
Tottenville,40.50533376115642,-74.24656934235283,Dunkin',Donut Shop
Tottenville,40.50533376115642,-74.24656934235283,lobster house joes 2,Seafood Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Mikey's Bagels,Bagel Shop
Tottenville,40.50533376115642,-74.24656934235283,Cornucopia Cruise Line,Boat or Ferry
Tottenville,40.50533376115642,-74.24656934235283,Qdoba Mexican Grill,Mexican Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Dunkin',Donut Shop
Tottenville,40.50533376115642,-74.24656934235283,Moby Dick's,Bar
Tottenville,40.50533376115642,-74.24656934235283,Ulta Beauty,Cosmetics Shop
Tottenville,40.50533376115642,-74.24656934235283,Planet Fitness,Gym / Fitness Center
Tottenville,40.50533376115642,-74.24656934235283,Costa Verde,Portuguese Restaurant
Tottenville,40.50533376115642,-74.24656934235283,Barge Restaurant & Cocktail,Seafood Restaurant
Tottenville,40.50533376115642,-74.24656934235283,CVS pharmacy,Pharmacy
Tottenville,40.50533376115642,-74.24656934235283,Starbucks,Coffee Shop
Tottenville,40.50533376115642,-74.24656934235283,Michaels,Arts & Crafts Store
Tottenville,40.50533376115642,-74.24656934235283,CTown Supermarkets,Grocery Store
Tottenville,40.50533376115642,-74.24656934235283,Rite Aid,Pharmacy
Tottenville,40.50533376115642,-74.24656934235283,Flat Iron Tavern,Bar
Tottenville,40.50533376115642,-74.24656934235283,Warren Park,Baseball Field
Tottenville,40.50533376115642,-74.24656934235283,T-Mobile,Mobile Phone Shop
Tottenville,40.50533376115642,-74.24656934235283,Monaghan House,Dive Bar
Tottenville,40.50533376115642,-74.24656934235283,GameStop,Video Game Store
Tottenville,40.50533376115642,-74.24656934235283,Carvel,Ice Cream Shop
Tottenville,40.50533376115642,-74.24656934235283,MTA SIR - Tottenville,Train Station
Tottenville,40.50533376115642,-74.24656934235283,Little Caesars Pizza,Pizza Place
Tottenville,40.50533376115642,-74.24656934235283,Seguine Hot Bagels,Bagel Shop
Butler Manor,40.50608165346305,-74.22950350260027,Mount Loretto Unique Area,State / Provincial Park
Butler Manor,40.50608165346305,-74.22950350260027,Tottenville Hot Bagels & Deli,Deli / Bodega
Butler Manor,40.50608165346305,-74.22950350260027,Intoxx Fitness,Gym
Butler Manor,40.50608165346305,-74.22950350260027,Towne Deli Pizzeria,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,Mizu,Sushi Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Conference House Park,Park
Butler Manor,40.50608165346305,-74.22950350260027,Starbucks,Coffee Shop
Butler Manor,40.50608165346305,-74.22950350260027,La Bella Marketplace,Grocery Store
Butler Manor,40.50608165346305,-74.22950350260027,Angelina's Ristorante,Italian Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Page Plaza Diner,Diner
Butler Manor,40.50608165346305,-74.22950350260027,Reggiano's Brick Oven Pizza & Cafe,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,Deluca’s Italian Restaurant,Italian Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Ralph's Ices,Ice Cream Shop
Butler Manor,40.50608165346305,-74.22950350260027,RollerJam USA,Skating Rink
Butler Manor,40.50608165346305,-74.22950350260027,Cigar Vault,Lounge
Butler Manor,40.50608165346305,-74.22950350260027,Café Luna,Café
Butler Manor,40.50608165346305,-74.22950350260027,Belli Baci Bakery,Bakery
Butler Manor,40.50608165346305,-74.22950350260027,Panera Bread,Bakery
Butler Manor,40.50608165346305,-74.22950350260027,Dollar Tree,Discount Store
Butler Manor,40.50608165346305,-74.22950350260027,campania coal fired pizza,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,Christmas Tree Shops,Gift Shop
Butler Manor,40.50608165346305,-74.22950350260027,7-Eleven,Convenience Store
Butler Manor,40.50608165346305,-74.22950350260027,Aloysia's Lounge,Bar
Butler Manor,40.50608165346305,-74.22950350260027,Seabra's Armory Restaurant,Seafood Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Wolfe's Pond Park,Park
Butler Manor,40.50608165346305,-74.22950350260027,Artisan Bakery,Bakery
Butler Manor,40.50608165346305,-74.22950350260027,Il Forno,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,ShopRite of Veterans Rd,Grocery Store
Butler Manor,40.50608165346305,-74.22950350260027,Pizza Pronto,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,Raritan Yacht Club,Harbor / Marina
Butler Manor,40.50608165346305,-74.22950350260027,Bayside Creamery,Ice Cream Shop
Butler Manor,40.50608165346305,-74.22950350260027,Mi Tierra,Caribbean Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Target,Big Box Store
Butler Manor,40.50608165346305,-74.22950350260027,Domenico's Pizzeria,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,Lemon Creek Fishing Pier,Beach
Butler Manor,40.50608165346305,-74.22950350260027,Aunt Butchies of Brooklyn,Bakery
Butler Manor,40.50608165346305,-74.22950350260027,Raritan Bay Waterfront Park,Park
Butler Manor,40.50608165346305,-74.22950350260027,Killmeyer's Old Bavarian Inn,German Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,CVS pharmacy,Pharmacy
Butler Manor,40.50608165346305,-74.22950350260027,Zio Toto - Staten Island,Italian Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Project Brunch,Breakfast Spot
Butler Manor,40.50608165346305,-74.22950350260027,South Shore Bar and Grill,American Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Nucci's,Italian Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Bloomingdale Park,Park
Butler Manor,40.50608165346305,-74.22950350260027,Bonao Restaurant,Latin American Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Ciro,Italian Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Fu Lin,Chinese Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Top Tomato,Farmers Market
Butler Manor,40.50608165346305,-74.22950350260027,Walgreens,Pharmacy
Butler Manor,40.50608165346305,-74.22950350260027,Sciortinos Pizza,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,CVS pharmacy,Pharmacy
Butler Manor,40.50608165346305,-74.22950350260027,Blue Moon,Bar
Butler Manor,40.50608165346305,-74.22950350260027,Cracker Barrel,Deli / Bodega
Butler Manor,40.50608165346305,-74.22950350260027,Troy Restaurant,Turkish Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Target,Big Box Store
Butler Manor,40.50608165346305,-74.22950350260027,Fenix Studios,Music Venue
Butler Manor,40.50608165346305,-74.22950350260027,Qdoba Mexican Grill,Mexican Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,BBQ Luso,BBQ Joint
Butler Manor,40.50608165346305,-74.22950350260027,Coney Island Restaurant,Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Planet Fitness,Gym / Fitness Center
Butler Manor,40.50608165346305,-74.22950350260027,Fajji's,Ice Cream Shop
Butler Manor,40.50608165346305,-74.22950350260027,Misaki Sushi,Sushi Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,lobster house joes 2,Seafood Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Dunkin',Donut Shop
Butler Manor,40.50608165346305,-74.22950350260027,Ulta Beauty,Cosmetics Shop
Butler Manor,40.50608165346305,-74.22950350260027,Rosa's Deli,Deli / Bodega
Butler Manor,40.50608165346305,-74.22950350260027,Sciortino's Harbor Lights,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,Starbucks,Coffee Shop
Butler Manor,40.50608165346305,-74.22950350260027,Amboy Asian Cafe,Asian Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Seguine Hot Bagels,Bagel Shop
Butler Manor,40.50608165346305,-74.22950350260027,Michaels,Arts & Crafts Store
Butler Manor,40.50608165346305,-74.22950350260027,Dunkin',Donut Shop
Butler Manor,40.50608165346305,-74.22950350260027,Popeyes Louisiana Kitchen,Fried Chicken Joint
Butler Manor,40.50608165346305,-74.22950350260027,Jamba Juice,Juice Bar
Butler Manor,40.50608165346305,-74.22950350260027,Raritan Bay YMCA,Gym
Butler Manor,40.50608165346305,-74.22950350260027,Garibaldi Mexican Restaurant,Mexican Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Broadway Bagels,Bagel Shop
Butler Manor,40.50608165346305,-74.22950350260027,Cucumber Sushi + Salad Bar,Sushi Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Starbucks,Coffee Shop
Butler Manor,40.50608165346305,-74.22950350260027,GameStop,Video Game Store
Butler Manor,40.50608165346305,-74.22950350260027,Mikey's Bagels,Bagel Shop
Butler Manor,40.50608165346305,-74.22950350260027,Wendy’s,Fast Food Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Portuguese Manor,Spanish Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Dunkin',Donut Shop
Butler Manor,40.50608165346305,-74.22950350260027,El Boy Restaurant,Spanish Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Top Tomato Super Store,Grocery Store
Butler Manor,40.50608165346305,-74.22950350260027,Mario's Famous Pizzaria,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,Luigi's Pizza,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,Lowe's,Hardware Store
Butler Manor,40.50608165346305,-74.22950350260027,Rossville Pizza,Pizza Place
Butler Manor,40.50608165346305,-74.22950350260027,Ralph's Italian Ices,Ice Cream Shop
Butler Manor,40.50608165346305,-74.22950350260027,Cornucopia Cruise Line,Boat or Ferry
Butler Manor,40.50608165346305,-74.22950350260027,QDOBA Mexican Eats,Mexican Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Barge Restaurant & Cocktail,Seafood Restaurant
Butler Manor,40.50608165346305,-74.22950350260027,Enterprise Rent-A-Car,Rental Car Location
Butler Manor,40.50608165346305,-74.22950350260027,La Dolce Bakery & Pastry Shoppe,Bakery
Butler Manor,40.50608165346305,-74.22950350260027,Flat Iron Tavern,Bar
Butler Manor,40.50608165346305,-74.22950350260027,Dunkin',Donut Shop
Butler Manor,40.50608165346305,-74.22950350260027,Rite Aid,Pharmacy
Butler Manor,40.50608165346305,-74.22950350260027,CTown Supermarkets,Grocery Store
Richmond Valley,40.51954145748909,-74.22957080626941,Intoxx Fitness,Gym
Richmond Valley,40.51954145748909,-74.22957080626941,Starbucks,Coffee Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Tottenville Hot Bagels & Deli,Deli / Bodega
Richmond Valley,40.51954145748909,-74.22957080626941,Mizu,Sushi Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Page Plaza Diner,Diner
Richmond Valley,40.51954145748909,-74.22957080626941,Cigar Vault,Lounge
Richmond Valley,40.51954145748909,-74.22957080626941,Panera Bread,Bakery
Richmond Valley,40.51954145748909,-74.22957080626941,Café Luna,Café
Richmond Valley,40.51954145748909,-74.22957080626941,Ralph's Ices,Ice Cream Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Towne Deli Pizzeria,Pizza Place
Richmond Valley,40.51954145748909,-74.22957080626941,RollerJam USA,Skating Rink
Richmond Valley,40.51954145748909,-74.22957080626941,Mount Loretto Unique Area,State / Provincial Park
Richmond Valley,40.51954145748909,-74.22957080626941,La Bella Marketplace,Grocery Store
Richmond Valley,40.51954145748909,-74.22957080626941,Christmas Tree Shops,Gift Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Angelina's Ristorante,Italian Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,7-Eleven,Convenience Store
Richmond Valley,40.51954145748909,-74.22957080626941,Dollar Tree,Discount Store
Richmond Valley,40.51954145748909,-74.22957080626941,campania coal fired pizza,Pizza Place
Richmond Valley,40.51954145748909,-74.22957080626941,Conference House Park,Park
Richmond Valley,40.51954145748909,-74.22957080626941,Artisan Bakery,Bakery
Richmond Valley,40.51954145748909,-74.22957080626941,Pizza Pronto,Pizza Place
Richmond Valley,40.51954145748909,-74.22957080626941,ShopRite of Veterans Rd,Grocery Store
Richmond Valley,40.51954145748909,-74.22957080626941,Reggiano's Brick Oven Pizza & Cafe,Pizza Place
Richmond Valley,40.51954145748909,-74.22957080626941,Deluca’s Italian Restaurant,Italian Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Target,Big Box Store
Richmond Valley,40.51954145748909,-74.22957080626941,Il Forno,Pizza Place
Richmond Valley,40.51954145748909,-74.22957080626941,Belli Baci Bakery,Bakery
Richmond Valley,40.51954145748909,-74.22957080626941,Killmeyer's Old Bavarian Inn,German Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Aloysia's Lounge,Bar
Richmond Valley,40.51954145748909,-74.22957080626941,Project Brunch,Breakfast Spot
Richmond Valley,40.51954145748909,-74.22957080626941,Aunt Butchies of Brooklyn,Bakery
Richmond Valley,40.51954145748909,-74.22957080626941,Zio Toto - Staten Island,Italian Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Wolfe's Pond Park,Park
Richmond Valley,40.51954145748909,-74.22957080626941,Bloomingdale Park,Park
Richmond Valley,40.51954145748909,-74.22957080626941,Nucci's,Italian Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Domenico's Pizzeria,Pizza Place
Richmond Valley,40.51954145748909,-74.22957080626941,CVS pharmacy,Pharmacy
Richmond Valley,40.51954145748909,-74.22957080626941,Target,Big Box Store
Richmond Valley,40.51954145748909,-74.22957080626941,Ciro,Italian Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Fenix Studios,Music Venue
Richmond Valley,40.51954145748909,-74.22957080626941,Seabra's Armory Restaurant,Seafood Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Top Tomato,Farmers Market
Richmond Valley,40.51954145748909,-74.22957080626941,Planet Fitness,Gym / Fitness Center
Richmond Valley,40.51954145748909,-74.22957080626941,Sewaren Waterfront,Scenic Lookout
Richmond Valley,40.51954145748909,-74.22957080626941,Mi Tierra,Caribbean Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,CVS pharmacy,Pharmacy
Richmond Valley,40.51954145748909,-74.22957080626941,Walgreens,Pharmacy
Richmond Valley,40.51954145748909,-74.22957080626941,Ulta Beauty,Cosmetics Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Dunkin',Donut Shop
Richmond Valley,40.51954145748909,-74.22957080626941,South Shore Bar and Grill,American Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Misaki Sushi,Sushi Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,lobster house joes 2,Seafood Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Bayside Creamery,Ice Cream Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Starbucks,Coffee Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Raritan Yacht Club,Harbor / Marina
Richmond Valley,40.51954145748909,-74.22957080626941,Lemon Creek Fishing Pier,Beach
Richmond Valley,40.51954145748909,-74.22957080626941,Michaels,Arts & Crafts Store
Richmond Valley,40.51954145748909,-74.22957080626941,Dunkin',Donut Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Qdoba Mexican Grill,Mexican Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Strawberry's Pub & Pizza,Pub
Richmond Valley,40.51954145748909,-74.22957080626941,Sciortinos Pizza,Pizza Place
Richmond Valley,40.51954145748909,-74.22957080626941,Bonao Restaurant,Latin American Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Alvin P. Williams Memorial Park,Park
Richmond Valley,40.51954145748909,-74.22957080626941,Jamba Juice,Juice Bar
Richmond Valley,40.51954145748909,-74.22957080626941,Troy Restaurant,Turkish Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,GameStop,Video Game Store
Richmond Valley,40.51954145748909,-74.22957080626941,Fajji's,Ice Cream Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Fu Lin,Chinese Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Staten Island Golf Practice Center,Golf Course
Richmond Valley,40.51954145748909,-74.22957080626941,Garden State Liquor,Liquor Store
Richmond Valley,40.51954145748909,-74.22957080626941,Moby Dick's,Bar
Richmond Valley,40.51954145748909,-74.22957080626941,Se salio el pollo,Peruvian Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Seguine Hot Bagels,Bagel Shop
Richmond Valley,40.51954145748909,-74.22957080626941,BBQ Luso,BBQ Joint
Richmond Valley,40.51954145748909,-74.22957080626941,Cracker Barrel,Deli / Bodega
Richmond Valley,40.51954145748909,-74.22957080626941,South Shore Golf Course,Golf Course
Richmond Valley,40.51954145748909,-74.22957080626941,Genki Sushi,Sushi Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Lowe's,Hardware Store
Richmond Valley,40.51954145748909,-74.22957080626941,Cucumber Sushi + Salad Bar,Sushi Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Rossville Pizza,Pizza Place
Richmond Valley,40.51954145748909,-74.22957080626941,Starbucks,Coffee Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Family Fruit,Fruit & Vegetable Store
Richmond Valley,40.51954145748909,-74.22957080626941,Wendy’s,Fast Food Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Coney Island Restaurant,Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Popeyes Louisiana Kitchen,Fried Chicken Joint
Richmond Valley,40.51954145748909,-74.22957080626941,QDOBA Mexican Eats,Mexican Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Heartland Bagels - Rossville Ave,Bagel Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Raritan Bay YMCA,Gym
Richmond Valley,40.51954145748909,-74.22957080626941,Carvel,Ice Cream Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Amboy Asian Cafe,Asian Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Ralph's Italian Ices,Ice Cream Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Garibaldi Mexican Restaurant,Mexican Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,La Dolce Bakery & Pastry Shoppe,Bakery
Richmond Valley,40.51954145748909,-74.22957080626941,Dunkin',Donut Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Warren Park,Baseball Field
Richmond Valley,40.51954145748909,-74.22957080626941,Enterprise Rent-A-Car,Rental Car Location
Richmond Valley,40.51954145748909,-74.22957080626941,Portuguese Manor,Spanish Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,El Boy Restaurant,Spanish Restaurant
Richmond Valley,40.51954145748909,-74.22957080626941,Dunkin',Donut Shop
Richmond Valley,40.51954145748909,-74.22957080626941,Big Nose Kate's,Bar
Pleasant Plains,40.524699376118136,-74.21983106616777,Ralph's Ices,Ice Cream Shop
Pleasant Plains,40.524699376118136,-74.21983106616777,Intoxx Fitness,Gym
Pleasant Plains,40.524699376118136,-74.21983106616777,Starbucks,Coffee Shop
Pleasant Plains,40.524699376118136,-74.21983106616777,Dollar Tree,Discount Store
Pleasant Plains,40.524699376118136,-74.21983106616777,Panera Bread,Bakery
Pleasant Plains,40.524699376118136,-74.21983106616777,Page Plaza Diner,Diner
Pleasant Plains,40.524699376118136,-74.21983106616777,Tottenville Hot Bagels & Deli,Deli / Bodega
Pleasant Plains,40.524699376118136,-74.21983106616777,Christmas Tree Shops,Gift Shop
Pleasant Plains,40.524699376118136,-74.21983106616777,Mizu,Sushi Restaurant
Pleasant Plains,40.524699376118136,-74.21983106616777,Mount Loretto Unique Area,State / Provincial Park
Pleasant Plains,40.524699376118136,-74.21983106616777,Café Luna,Café
Pleasant Plains,40.524699376118136,-74.21983106616777,Cigar Vault,Lounge
Pleasant Plains,40.524699376118136,-74.21983106616777,Il Forno,Pizza Place
Pleasant Plains,40.524699376118136,-74.21983106616777,RollerJam USA,Skating Rink
Pleasant Plains,40.524699376118136,-74.21983106616777,Towne Deli Pizzeria,Pizza Place
Pleasant Plains,40.524699376118136,-74.21983106616777,Bloomingdale Park,Park
Pleasant Plains,40.524699376118136,-74.21983106616777,La Bella Marketplace,Grocery Store
Pleasant Plains,40.524699376118136,-74.21983106616777,Artisan Bakery,Bakery
Pleasant Plains,40.524699376118136,-74.21983106616777,Domenico's Pizzeria,Pizza Place
Pleasant Plains,40.524699376118136,-74.21983106616777,7-Eleven,Convenience Store
Pleasant Plains,40.524699376118136,-74.21983106616777,Pizza Pronto,Pizza Place
Pleasant Plains,40.524699376118136,-74.21983106616777,Wolfe's Pond Park,Park
Pleasant Plains,40.524699376118136,-74.21983106616777,ShopRite of Veterans Rd,Grocery Store
Pleasant Plains,40.524699376118136,-74.21983106616777,Target,Big Box Store
Pleasant Plains,40.524699376118136,-74.21983106616777,Ciro,Italian Restaurant
Pleasant Plains,40.524699376118136,-74.21983106616777,Killmeyer's Old Bavarian Inn,German Restaurant
Pleasant Plains,40.524699376118136,-74.21983106616777,Angelina's Ristorante,Italian Restaurant
Pleasant Plains,40.524699376118136,-74.21983106616777,campania coal fired pizza,Pizza Place
Pleasant Plains,40.524699376118136,-74.21983106616777,CVS pharmacy,Pharmacy
Pleasant Plains,40.524699376118136,-74.21983106616777,Conference House Park,Park
Pleasant Plains,40.524699376118136,-74.21983106616777,Project Brunch,Breakfast Spot
Pleasant Plains,40.524699376118136,-74.21983106616777,Misaki Sushi,Sushi Restaurant
Pleasant Plains,40.524699376118136,-74.21983106616777,Reggiano's Brick Oven Pizza & Cafe,Pizza Place
Pleasant Plains,40.524699376118136,-74.21983106616777,Deluca’s Italian Restaurant,Italian Restaurant
